name,category,lat,lng,region,address,commune_name,estimated_traffic
Auchan Mermoz,supermarket,14.7044,-17.4756,Dakar,Mermoz,Dakar,12000
Auchan Diamniadio,supermarket,14.6930,-17.3370,Thiès,Diamniadio,Thiès,8000
Auchan Yoff,supermarket,14.7380,-17.4900,Dakar,Yoff,Dakar,10000
Auchan Guédiawaye,supermarket,14.7520,-17.3800,Dakar,Guédiawaye,Dakar,9000
Auchan Pikine,supermarket,14.7160,-17.4500,Dakar,Pikine,Dakar,8500
Auchan Rufisque,supermarket,14.7150,-17.3000,Thiès,Rufisque,Thiès,7000
Auchan Ziguinchor,supermarket,12.5720,-16.2700,Ziguinchor,Ziguinchor,Ziguinchor,6000
Auchan Saint-Louis,supermarket,16.0250,-16.4920,Saint-Louis,Saint-Louis,Saint-Louis,5000
Auchan Kaolack,supermarket,14.1500,-16.0830,
Kaolack,Kaolack,Kaolack,4000
Auchan Tambacounda,supermarket,13.7800,-13.6700
Tambacounda,Tambacounda,Tambacounda,3000
Auchan Louga,supermarket,15.6167,-16.2500,Louga,Louga,Louga,3500
Auchan Kolda,supermarket,12.8833,-14.9500,Kolda
Kolda,Kolda,2500
Auchan Thiès,supermarket,14.7833,-16.9667,Thiès,Thiès,Thiès,4500
Auchan Ziguinchor II,supermarket,12.5725,-16.2710,Ziguinchor,Ziguinchor,Ziguinchor,5500
Auchan Dakar Plateau,supermarket,14.6928,-17.4467,Dakar,Plateau,Dakar,11000
Auchan Mbour,supermarket,14.4300,-16.9700,Mbour,Mbour,Mbour,4000
Auchan Saly,supermarket,14.4300,-16.9000,Mbour,Saly,Mbour,3000
Auchan Saint-Louis II,supermarket,16.0260,-16.4930,
Saint-Louis,Saint-Louis,Saint-Louis,3200
Auchan Diourbel,supermarket,14.6500,-16.2333,Diourbel,Diourbel,Diourbel,2800
Auchan Fatick,supermarket,14.4333,-16.4167,Fatick,Fatick,Fatick,2600
Auchan Ziguinchor III,supermarket,12.5730,-16.2720,Ziguinchor,Ziguinchor,Ziguinchor,5200
Auchan Louga II,supermarket,15.6170,-16.2510,Louga,Louga,Louga,3600
Auchan Kaolack II,supermarket,14.1510,-16.0840,Kaolack,Kaolack,Kaolack,4200
Auchan Tambacounda II,supermarket,13.7810,-13.671,Tambacounda,Tambacounda,Tambacounda,3100
Auchan Kolda II,supermarket,12.8840,-14.9510,Kolda,Kolda,Kolda,2600
